,Dystopia
0,1.9521
1,2.14558
2,1.89894
3,1.92816
4,2.43209
5,3.40904
6,1.94939
7,2.09459
8,2.836
9,3.12985
10,1.75873
11,1.97864
12,2.26646
13,2.5465
14,2.5332
15,2.69343
16,2.00073
17,2.2735
18,1.73797
19,2.27405
20,2.51767
21,2.60904
22,2.1309
23,2.38582
24,2.41484
25,2.61355
26,1.63328
27,2.10812
28,1.63794
29,1.82916
30,2.82334
31,2.91635
32,2.06367
33,2.48406
34,1.46181
35,0.96741
36,3.26001
37,3.50733
38,0.89991
39,1.15377
40,1.46494
41,1.87319
42,1.83302
43,2.10404
44,0.98195
45,1.31573
46,1.95071
47,2.5198
48,2.45176
49,2.70485
50,1.94296
51,2.30637
52,2.67585
53,2.95505
54,1.8604
55,2.17087
56,2.85737
57,3.17471
58,3.17728
59,3.35168
60,2.75414
61,2.52462
62,1.88931
63,2.04497
64,2.67782
65,2.96211
66,2.49204
67,2.73939
68,1.21305
69,1.69626
70,2.53942
71,2.77366
72,3.035
73,3.22134
74,1.58782
75,1.81985
76,2.44876
77,2.65614
78,2.61955
79,2.82596
80,2.21126
81,2.4744
82,0.99895
83,1.45332
84,1.59541
85,1.87031
86,2.11569
87,2.50931
88,2.30919
89,2.2002
90,1.80101
91,2.12944
92,2.74255
93,3.19863
94,1.99172
95,2.15604
96,2.24173
97,2.37116
98,1.84408
99,2.29551
100,1.24074
101,1.95473
102,2.70201
103,2.83137
104,2.27513
105,2.18032
106,1.86399
107,2.03171
108,1.95335
109,1.81657
110,1.9757
111,2.15988
112,3.08854
113,3.31029
114,2.02518
115,2.34918
116,2.32038
117,2.35682
118,1.68435
119,1.80584
120,1.87996
121,2.20142
122,2.24729
123,2.49325
124,1.78555
125,1.88326
126,2.76579
127,2.80998
128,1.87634
129,2.28085
130,1.62215
131,2.20859
132,1.57059
133,2.07339
134,2.77729
135,2.23284
136,2.09066
137,2.39374
138,2.44649
139,2.60525
140,1.96961
141,2.11055
142,1.851
143,2.15075
144,2.80791
145,2.82859
146,1.88541
147,2.35384
148,1.79293
149,2.11087
150,1.6488
151,1.99032
152,2.11773
153,1.9263
154,1.76145
155,2.20223
156,3.60214
157,3.55906
158,3.10712
159,3.38007
160,1.34759
161,1.53586
162,2.10017
163,2.25531
164,2.45373
165,2.94891
166,1.41805
167,1.50655
168,1.95637
169,2.32694
170,2.4657
171,2.70749
172,2.26425
173,2.47553
174,2.32407
175,2.82428
176,1.87877
177,2.09469
178,2.89319
179,2.88586
180,2.46531
181,2.66465
182,3.10709
183,3.18286
184,2.84848
185,3.00559
186,2.18896
187,2.16091
188,2.5945
189,2.73117
190,1.7536
191,2.23484
192,1.86565
193,2.20035
194,1.26462
195,1.53015
196,1.55674
197,1.58224
198,1.93129
199,2.45184
200,0.67042
201,0.96819
202,2.43872
203,2.61482
204,1.44395
205,1.97861
206,2.025
207,2.27539
208,2.51009
209,3.01402
210,1.88501
211,1.99375
212,1.61583
213,1.79522
214,1.71956
215,1.64227
216,2.12367
217,2.39663
218,0.67108
219,0.91681
220,2.20857
221,2.10995
222,2.37119
223,2.54734
224,2.51738
225,2.69463
226,2.11399
227,2.39106
228,1.38079
229,1.37769
230,2.31945
231,2.5796
232,1.56726
233,2.1354
234,2.26882
235,2.51394
236,2.12466
237,2.68413
238,2.08528
239,2.29074
240,1.86984
241,2.21489
242,1.42766
243,1.51416
244,1.5714
245,1.50066
246,2.24743
247,2.21507
248,1.96994
249,2.14999
250,2.51011
251,2.72782
252,2.32142
253,2.67139
254,2.23741
255,2.34638
256,2.20173
257,1.9418
258,2.6343
259,2.58991
260,2.44191
261,2.4427
