Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.2595520019531,89.5,71.5,84.1371383666992,..,..
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..,..,..
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..,..,..
Afghanistan,AFG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,2.78510514730068,3.02414937029837,2.64374189312687,2.64374189312687,..,..
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,-10.54789284,-6.944384813,-10.28844725,-10.87939183,..,..
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,94.0017341230592,91.3762048564238,88.7687273393836,86.5709321507136,84.5872779704028,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,35.797,34.836,33.98,33.214,..,..
Afghanistan,AFG,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..
Afghanistan,AFG,Coverage of social insurance programs in richest quintile (% of population),per_si_allsi.cov_q5_tot,..,..,..,..,..,..
Afghanistan,AFG,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,..,..,..,..,..,..
Afghanistan,AFG,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,..,..,..,..,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.331,7.118,6.924,6.747,..,..
Afghanistan,AFG,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,60.00801,59.1065,56.69549,43.30205,44.1906,..
Afghanistan,AFG,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,25.77935,25.39206,24.3563,21.83389,22.25369,..
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,42.0936844468805,44.5892994893339,37.0225695736427,..,..,..
Afghanistan,AFG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,22.91737545,21.9838207,16.44546401,..,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20561069558.2152,20484885119.7348,19907111418.9938,19046357714.4928,19543976895.4248,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636834,..
Afghanistan,AFG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,4.37888356606721,4.81109742183506,2.94818036425211,4.95403313645523,7.15570536499632,..
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..
Afghanistan,AFG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,2.28586195969504,-1.83650258034196,0.409391082824413,1.08793953115092,0.748720444738609,..
Afghanistan,AFG,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,44,42.7,41.5,40.3,39.2,..
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,79.2,76,73.1,70.4,67.9,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,31731688,32758020,33736494,34656032,35530081,..
Afghanistan,AFG,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,..,..,37.72088,42.68464,38.66756,..
Afghanistan,AFG,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,45.71171,..,44.32877,..,44.00995,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.3342925084743,19.3142686133983,18.4234771693218,..,..,..
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860,652860,652860,652860,652860,652860
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,7.12277329020889,6.88210294277301,7.58538233129798,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,74.7439088952975,67.1959247512852,55.1255265979591,47.6590554256105,51.2368807956764,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..
Afghanistan,AFG,Wholesale price index (2010 = 100),FP.WPI.TOTL,..,..,..,..,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Albania,ALB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,94.36618,96.1593,95.59661,95.65855,97.06175,..
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.06663717496937,2.20107760078312,4.61846802464052,3.19661056052152,..,..
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.2556400725498,2.41290107708356,4.92356707507196,3.361733691385,..,..
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.22728502181027,3.22728502181027,3.22728502181027,3.22728502181027,..,..
Albania,ALB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,17.43113636,11.78769598,15.80204856,16.6463675,..,..
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,45.6758037831245,44.7113390701542,44.0166438612638,44.0015401014685,44.0595057133346,..
