,Year,Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33
Year,1.0,0.00011384063134060829,0.14393684887241948,0.2717839457155687,-0.14337900885007177,-0.046744818833651704,-0.060602911774742065,0.03154797007324475,-0.1822621359629149,0.006226193691139226,0.0073510747899127584,-0.02981171860422008,-0.02897301552830242,-0.0004757328411182421,0.008782532006931253,-0.0021259284865450746,-0.006218018577160118,-0.0047046686970170365,-0.004815769166574216,-0.0016832335327895188,0.0015345095827785356,-0.0056687044741886945,-0.0009862187246830183,0.00510163216660177,-0.03544971027108475,0.001378287913680207,0.008378170640539088,0.09638902104345942,0.03601604833466022,-0.004697916952429859,0.0717223570081783,-0.029118159555470764,-0.031136377626632076,0.0027911246650355556,-0.003727428276806759,0.016015129707018242,0.00544975420483135,0.0003354192073489591,-0.002334126127723567,0.004603305074699833,-0.023298368121029246,0.005715714792545268
Score,0.00011384063134060829,1.0,0.8076704446506264,0.6289236836324715,0.7753943583665301,0.5698094865574423,0.4590122029048941,0.20749241673163582,0.5098757636688925,0.6322547540089751,0.31633168790642546,-0.09915181733565087,-0.03866446081870582,0.31226078404719343,0.3154353314377618,-0.5908479276667826,-0.6242514375803616,-0.06877167049960223,-0.08061427511057115,-0.002568213791216198,0.05591279623812193,-0.15801825738724065,-0.2955534888151301,0.12345247422356585,0.27878067164618503,-0.4685687422586282,0.204410905347283,-0.11110475890041566,0.3952750596744838,0.13305708541049044,-0.10855629952176002,-0.7028935090403169,-0.693861662595058,-0.04442436282991978,-0.26266823571577436,-0.5436323775956209,-0.42133538155270617,0.19324872330056517,0.1699801482150636,0.23930979717341613,-0.15038083845085767,-0.07714443160804509
Economy,0.14393684887241948,0.8076704446506264,1.0,0.606024996682987,0.7770859948619665,0.3779394664441362,0.37808160433134036,0.005913773222230623,0.09696083651004216,0.7249024919529767,0.4202508592915783,-0.1272888283898356,-0.04657125010168286,0.2648656023406633,0.3221658710635944,-0.7054390633972243,-0.7237009129206947,-0.019055391966730176,0.00031214305629126947,0.09394451976264412,0.12219692112347576,-0.0708731047250889,-0.3651203697301155,0.232440868549903,0.3852300789576475,-0.5696648320291757,0.20894099124278914,-0.15817284938870502,0.5614389593691912,0.16525265558729343,-0.08815076173625098,-0.7918540388944524,-0.7827713388817326,-0.03287559635386034,-0.4148924010671401,-0.653677020261877,-0.5747694189738034,0.11867327099214924,0.20332724032388985,0.37025786403737393,0.026635589906017488,-0.16942446943547548
Family,0.2717839457155687,0.6289236836324715,0.606024996682987,1.0,0.49650278797976266,0.455251577339714,0.21040454984295145,0.1317386403021867,-0.10745086854033407,0.39847581350061,0.16548244159884307,-0.04137173950195024,0.005952954056729603,0.2796018341721251,0.2380254971401645,-0.3686995673083653,-0.40671764136908267,-0.08438504261036034,-0.09024863446549986,-0.034360655137691855,0.0271917097571558,0.004538416195655631,-0.2713554771634875,0.09436253632520823,0.17562408860100173,-0.3267403754584309,0.11945887840195035,-0.034256421413503324,0.33362537171779794,0.08428424767047601,-0.01802856995123543,-0.5494354921003025,-0.5120513479705323,-0.11667551411693447,-0.30795927122696165,-0.4207322400468038,-0.27915258660035414,0.10498794105454505,0.12787332914088428,0.19147808216766443,-0.0685856449877449,-0.10481613694839642
Health,-0.14337900885007177,0.7753943583665301,0.7770859948619665,0.49650278797976266,1.0,0.4164374345796123,0.3149015933161732,0.06595684060467774,0.1517383718671483,0.7218943473411307,0.3666115731727607,0.019838546889390365,0.12191409170604374,0.2457558892500163,0.32300962854899995,-0.7143768695101028,-0.7834440422614116,-0.058158167765936644,-0.042416968071294706,0.08751979731668813,0.1412474881043573,-0.09341139241829825,-0.30073703691549286,0.18584292982917375,0.3146461241860162,-0.5098174746919488,0.21162091083611934,-0.025429327484435396,0.3732762707274779,0.19680702095981445,-0.0429173267213069,-0.8769610623131096,-0.8986129554386597,0.002027787495814816,-0.36540658511206875,-0.6283324410028505,-0.50956253270243,0.08691215136186824,0.19257008223220975,0.33832338539168894,-0.0003239571379943862,-0.1603559273257827
Freedom,-0.046744818833651704,0.5698094865574423,0.3779394664441362,0.455251577339714,0.4164374345796123,1.0,0.4960101636285365,0.37981430628658164,0.009858108035668164,0.2613087098275433,0.24163451481900206,0.10140823881614122,0.08547107173868619,0.1394486737767081,0.37291971420197945,-0.3173967224715898,-0.275266378612836,-0.04322460278972976,-0.07326032616595664,-0.021853238485179692,0.037518471057366075,-0.27798656878891814,-0.12829322953111372,0.08456255868519295,-0.03360818304413183,-0.17435464822143684,0.1305382721496014,0.16139569316149477,0.3593470675626927,0.006565791598146219,0.03441821393587948,-0.37028272663570866,-0.3593515564008246,0.03334142825624608,-0.06993071961038583,-0.1926466983331372,-0.10300660808157451,0.1125452407107277,0.06858693552509801,0.18407612047456315,-0.3446816248383468,-0.03727326631917766
Trust,-0.060602911774742065,0.4590122029048941,0.37808160433134036,0.21040454984295145,0.3149015933161732,0.4960101636285365,1.0,0.25850626864737175,0.0215239159866977,0.129182579277733,0.16014932145965266,-0.09483428572021617,-0.1265891463052805,0.12232777997906821,0.28024645186252417,-0.19630789552961317,-0.16841927961891362,-0.031214697698976935,-0.06340048712800776,-0.047829420643595084,-0.004889826457121133,-0.2650101217870944,-0.22871322284036943,0.08087550858010177,0.005690342331839798,-0.06347958936634993,0.02985545872142563,0.019922831207381465,0.36924904707312056,-0.06876084460132904,-0.008646318234328607,-0.23918132608717765,-0.21975734161182342,-0.10944224884623535,-0.10111603748504382,-0.1110534996448796,-0.10850767136081436,0.0469405194299275,0.08929411717654176,0.2413766848251261,-0.19828549828658856,-0.04476355968169856
Generosity,0.03154797007324475,0.20749241673163582,0.005913773222230623,0.1317386403021867,0.06595684060467774,0.37981430628658164,0.25850626864737175,1.0,-0.07271143440772726,-0.06166055063527325,0.0051707998481257764,0.10812284995756552,0.07943403351788982,0.0016353492104820458,0.17064248899565473,-0.047027041397060515,-0.02728476763850936,-0.17648708038333544,-0.18857734753976915,-0.24639741528175216,-0.1840898935146243,-0.17362330887909064,0.10439736332712378,-0.09555560024833419,-0.11705176886180337,0.04513544749746368,0.03636058632909113,0.19200442867197104,0.09837971571109705,-0.13566005006104986,0.08574153015727158,0.031464942597916115,0.002230436409878826,-0.04722803806028125,0.12365719266335724,0.07210744087783441,0.1699270822289883,0.05008611085561039,0.0033665557006214977,0.07863580667620952,-0.29021642654683943,0.10646840137123188
Dystopia,-0.1822621359629149,0.5098757636688925,0.09696083651004216,-0.10745086854033407,0.1517383718671483,0.009858108035668164,0.0215239159866977,-0.07271143440772726,1.0,0.1746423577725399,0.002692590191165496,-0.13177233011867498,-0.11644770264391642,0.13148455639907386,-0.05055463670447675,-0.06698439634406077,-0.09513738647605134,0.003358815076148786,-0.02101296275969564,-0.016316843583988595,-0.012542368513655816,-0.067629122719485,-0.010868269175260865,-0.06173577465896477,0.10329081952955349,-0.11007562871104525,0.06585315499107673,-0.17975348064115776,-0.1330781609538418,0.07139253922459748,-0.16162796505637733,-0.06274071422388819,-0.0627179107706355,0.021775258555972437,0.09475564607926719,-0.09385593051471239,-0.07504146591086366,0.16729028906585308,0.013859694717030833,-0.14284525511327745,-0.0885327608069788,0.08392690282761875
Ind 1,0.006226193691139226,0.6322547540089751,0.7249024919529767,0.39847581350061,0.7218943473411307,0.2613087098275433,0.129182579277733,-0.06166055063527325,0.1746423577725399,1.0,0.38476586695470166,-0.03272637911867036,0.08824064449106662,0.27745942158631703,0.32285339731755575,-0.7458396382778236,-0.8430259542660216,-0.015204782501930287,0.004693098156165371,0.10155733511457417,0.12574943128671867,-0.12042567619749234,-0.31491416701374014,0.25141901929321575,0.3278278940793877,-0.7691920221062234,0.147138424376386,-0.03968999207158688,0.3167075986025355,0.31757671574258406,-0.05622101107039166,-0.6594392255697054,-0.7563433199506355,0.06217823529659976,-0.33744368504239575,-0.6580176591367504,-0.7404749720814456,0.07032723562957122,0.11192266614228322,0.16868886378193632,0.13352236973517284,-0.11677133668921709
Ind 2,0.0073510747899127584,0.31633168790642546,0.4202508592915783,0.16548244159884307,0.3666115731727607,0.24163451481900206,0.16014932145965266,0.0051707998481257764,0.002692590191165496,0.38476586695470166,1.0,-0.04580115938112031,-0.001569505515061517,0.12110446688215605,0.1871297824995792,-0.3656809144126706,-0.418398070014153,0.12379176959085353,0.1490283792986749,0.18396208389052987,0.13388608658533427,0.003538844122787641,-0.139217957724558,0.16303199080590441,0.15313364366876442,-0.4128098668402019,0.08621033202324618,-0.04705837978983729,0.43941391713521544,0.16108488687972733,0.04624539666728014,-0.4196743920303943,-0.4424709613098594,0.018780745173661004,-0.17684673299792253,-0.2638581758548909,-0.2817425568833393,0.046590531862236814,0.044921634983760166,0.12407118734249993,0.12419712654369305,0.0021233369211877836
