,Health
0,0.30335
1,0.17344
2,0.81325
3,0.73007
4,0.61766
5,0.61804
6,0.16683
7,0.04991
8,0.78723
9,0.69711
10,0.7299
11,0.64083
12,0.93156
13,0.8512
14,0.89042
15,0.80565
16,0.64045
17,0.54504
18,0.74716
19,0.65696
20,0.60164
21,0.52989
22,0.73608
23,0.63104
24,0.89667
25,0.81959
26,0.3191
27,0.21028
28,0.57407
29,0.49759
30,0.5392
31,0.4697
32,0.79081
33,0.70766
34,0.04776
35,0.34752
36,0.69702
37,0.61415
38,0.76649
39,0.67806
40,0.27125
41,0.21297
42,0.22396
43,0.15747
44,0.61114
45,0.42494
46,0.23402
47,0.12698
48,0.90563
49,0.8276
50,0.1501
51,0.03824
52,0.85857
53,0.81883
54,0.81658
55,0.73561
56,0.69077
57,0.59659
58,0.86027
59,0.76146
60,0.78805
61,0.70524
62,0.92356
63,0.8488
64,0.84483
65,0.76376
66,0.87464
67,0.79504
68,0.66825
69,0.57669
70,0.79075
71,0.68613
72,0.67737
73,0.596
74,0.77361
75,0.68098
76,0.44055
77,0.34578
78,0.88911
79,0.81091
80,0.94579
81,0.83795
82,0.43372
83,0.3494
84,0.72926
85,0.64035
86,0.89186
87,0.81487
88,0.40132
89,0.29681
90,0.88213
91,0.80029
92,0.64425
93,0.54039
94,0.24009
95,0.18829
96,0.38847
97,0.27494
98,0.6951
99,0.58383
100,0.75905
101,0.67608
102,0.94784
103,0.86733
104,0.51529
105,0.45091
106,0.63793
107,0.49374
108,0.60237
109,0.51076
110,0.89533
111,0.81455
112,0.91387
113,0.84917
114,0.95446
115,0.85102
116,0.68741
117,0.59469
118,0.99111
119,0.91491
120,0.69639
121,0.60712
122,0.64368
123,0.57386
124,0.41435
125,0.30147
126,0.63132
127,0.54
128,0.72492
129,0.63569
130,0.72437
131,0.63952
132,0.83947
133,0.76171
134,0.34201
135,0.23165
136,0.7038
137,0.52304
138,0.73128
139,0.64674
140,0.91894
141,0.84542
142,0.46721
143,0.37109
144,0.22562
145,0.29364
146,0.72394
147,0.62366
148,0.20583
149,0.16347
150,0.88721
151,0.80315
152,0.35874
153,0.28639
154,0.7095
155,0.66189
156,0.81444
157,0.71143
158,0.61826
159,0.52309
160,0.60268
161,0.55469
162,0.72521
163,0.63533
164,0.60954
165,0.59471
166,0.48246
167,0.3988
168,0.56874
169,0.50073
170,0.89284
171,0.81231
172,0.90837
173,0.83096
174,0.74314
175,0.65213
176,0.29707
177,0.26162
178,0.16007
179,0.05108
180,0.88521
181,0.79579
182,0.51466
183,0.40306
184,0.79661
185,0.70835
186,0.66098
187,0.58295
188,0.73017
189,0.62994
190,0.58114
191,0.47036
192,0.77903
193,0.69058
194,0.87519
195,0.79363
196,0.79733
197,0.71723
198,0.7689
199,0.67602
200,0.42864
201,0.31865
202,0.72025
203,0.59267
204,0.4354
205,0.40457
206,0.74836
207,0.6458
208,0.0
209,0.0
210,1.02525
211,0.94719
212,0.87337
213,0.79151
214,0.27688
215,0.18611
216,0.95562
217,0.87896
218,0.70806
219,0.62007
220,0.36878
221,0.29759
222,0.91087
223,0.83121
224,0.94143
225,0.86303
226,0.57379
227,0.53119
228,0.38215
229,0.357
230,0.7385
231,0.64915
232,0.28443
233,0.24811
234,0.61483
235,0.52608
236,0.73793
237,0.59577
238,0.73172
239,0.64718
240,0.53886
241,0.44006
242,0.33861
243,0.19625
244,0.6739
245,0.58628
246,0.80925
247,0.72993
248,0.90943
249,0.80991
250,0.86179
251,0.779
252,0.8116
253,0.72183
254,0.59772
255,0.50163
256,0.74676
257,0.66157
258,0.29924
259,0.23573
260,0.33475
261,0.1595
